Symbol	importance
Cnih	Cnih	0.0412153659483691
Sae1	Sae1	0.0411097038548162
Snx27	Snx27	0.0410938674117289
Syne2	Syne2	0.0410699871050935
Nfia	Nfia	0.0410634676474967
Bbx	Bbx	0.04104
Rnf122	Rnf122	0.0410072479692628
Thoc7	Thoc7	0.040914206100413
X2610316D01Rik	X2610316D01Rik	0.040860736598585
X1810026B05Rik	X1810026B05Rik	0.040681658692185
Hipk1	Hipk1	0.0406616803657745
X2810055G20Rik	X2810055G20Rik	0.0405644751834942
Snrpa1	Snrpa1	0.040507351532567
Nme7	Nme7	0.0404612050739958
Huwe1	Huwe1	0.0404158433844529
Eif3i	Eif3i	0.0403216074152452
Btg1	Btg1	0.0399940676291909
Spag9	Spag9	0.0399230067130937
Mdc1	Mdc1	0.0397563964475818
Glyctk	Glyctk	0.0396990499965328
Topbp1	Topbp1	0.0396639868336071
Mapk1ip1l	Mapk1ip1l	0.0396199861451338
Psmd6	Psmd6	0.0396166022093357
Coa3	Coa3	0.0396042416966787
Zfp704	Zfp704	0.0395089817717121
Akirin1	Akirin1	0.0394394771592594
Csnk1e	Csnk1e	0.0393549450549451
Hdac2	Hdac2	0.0393041494975783
Brcc3	Brcc3	0.0392692307692308
Pum1	Pum1	0.0392649753347428
C330007P06Rik	C330007P06Rik	0.0391968858171862
Parp2	Parp2	0.0391608599503875
Pmf1	Pmf1	0.0391024270353303
Tpm3	Tpm3	0.0390991250512451
Sept11	Sept11	0.0390727296001489
X4930422G04Rik	X4930422G04Rik	0.0390490270099468
Pabpc1	Pabpc1	0.0389232138907595
Rfx3	Rfx3	0.0388575862534299
St5	St5	0.0388323282305803
Rpl23	Rpl23	0.0388233929355668
Topors	Topors	0.0388146120146824
Pwwp2a	Pwwp2a	0.0388113915712293
Ncam1	Ncam1	0.0387894248110203
Ptpn12	Ptpn12	0.0387730122992593
Zmat5	Zmat5	0.0386423832233463
Commd1	Commd1	0.0386255238996229
Atp5o	Atp5o	0.0385920842411038
Syt4	Syt4	0.0383809701087378
Ndufs4	Ndufs4	0.0383756430652311
Gins1	Gins1	0.0383436593225589
Abca5	Abca5	0.0382715731545846
X2310036O22Rik	X2310036O22Rik	0.0382567789515385
Zfp386	Zfp386	0.0381725530654159
Rps13	Rps13	0.0381001792533708
Ccdc34	Ccdc34	0.0380510439456554
Mdh2	Mdh2	0.0379742966247844
Gpr37l1	Gpr37l1	0.0379577086558761
Snrpb2	Snrpb2	0.0376320114597205
Ccnb2	Ccnb2	0.0375780089340701
Rbm26	Rbm26	0.0374978294138343
Ttc1	Ttc1	0.0371073764500238
Igfbpl1	Igfbpl1	0.0370096297884505
Ncor1	Ncor1	0.0369500462500463
Cox10	Cox10	0.0368986290549558
Cetn2	Cetn2	0.0368689375439375
X2410015M20Rik	X2410015M20Rik	0.0367143507143507
Slc35b1	Slc35b1	0.0366895202646816
Mcm10	Mcm10	0.0366644362592135
Rtel1	Rtel1	0.0366497350907799
Polr2i	Polr2i	0.036579353979354
Rnf187	Rnf187	0.0365616710673003
Atrx	Atrx	0.0365464571978344
Dlx1	Dlx1	0.0363899018232819
Leng8	Leng8	0.0363887955182073
Paip1	Paip1	0.0363759680277073
X2610017I09Rik	X2610017I09Rik	0.0363325787731361
Taf7	Taf7	0.0362955627712297
Prpf39	Prpf39	0.0362926126602353
Ubl5	Ubl5	0.0362760268611214
Senp2	Senp2	0.0362302586302586
Gadd45g	Gadd45g	0.0361726490596238
Otud4	Otud4	0.0361209690893901
Sh3bgrl	Sh3bgrl	0.0361051934155375
Mrps31	Mrps31	0.0360132363935936
Pam	Pam	0.0359967323131715
Ect2	Ect2	0.0359551276710638
Xpo1	Xpo1	0.0357728503279666
Golm1	Golm1	0.0356317985079956
Slc25a13	Slc25a13	0.0356271140207311
Atp5e	Atp5e	0.0355695575492677
Itgb3bp	Itgb3bp	0.0355230800273173
Tsg101	Tsg101	0.035522683365744
Stau1	Stau1	0.0352826269084709
Ccdc90b	Ccdc90b	0.035274640441168
Caprin1	Caprin1	0.0352046689400398
Nbeal1	Nbeal1	0.0351950336937317
Cdk5	Cdk5	0.0351305576086064
Eef1b2	Eef1b2	0.0351040532365396
Tsc22d3	Tsc22d3	0.0350888912602576
Rps18	Rps18	0.0349547529269287
Cox20	Cox20	0.0349532623442968
Dlx5	Dlx5	0.034908697214735
Jmy	Jmy	0.0348908763105622
Srsf10	Srsf10	0.0348415510505754
Pdzd11	Pdzd11	0.0348030303030303
Tox3	Tox3	0.0347267645865121
Ube2d3	Ube2d3	0.0346646363015082
Nedd4	Nedd4	0.034658885476086
Tbrg1	Tbrg1	0.0345893539590491
Ttk	Ttk	0.0345055971479501
Srek1	Srek1	0.034497286415593
Ndufa7	Ndufa7	0.0344902006306978
Daam2	Daam2	0.0344577580536202
Txnip	Txnip	0.0344027602979176
Kpna4	Kpna4	0.0343896670146615
Nop56	Nop56	0.0342718578153872
Rbm22	Rbm22	0.0341344113074899
Tceb1	Tceb1	0.0340969312169312
Rbm39	Rbm39	0.0340967495596694
Kif5b	Kif5b	0.034089864269346
Smc5	Smc5	0.0340778333508132
Znhit3	Znhit3	0.0340027969428864
Rpain	Rpain	0.0339830278992402
Sarnp	Sarnp	0.0339699255747403
Dpm3	Dpm3	0.0339338883749615
Vapa	Vapa	0.0339119047619048
Npdc1	Npdc1	0.0338752351097179
Ccdc174	Ccdc174	0.0338372443027145
Rpl24	Rpl24	0.0337621502291592
Afg3l1	Afg3l1	0.0336953323437242
Rad23b	Rad23b	0.0336904761904762
Ndufc2	Ndufc2	0.0336426208690038
Nf1	Nf1	0.0336193740899623
Tnpo2	Tnpo2	0.0335964646464647
Timm13	Timm13	0.0335642436071844
Lyrm2	Lyrm2	0.0335525682639153
